title,vote_average,vote_count,runtime,budget,popularity,imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Outros,Romance,Science Fiction,Thriller,War,Western,20th Century Fox,Columbia Pictures,Goldwyn,Mayer,Metro,Paramount Pictures,RKO Radio Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros,cluster,pca_0,pca_1,pca_2
Light Sleeper,6.7,5.2574953720277815,103.0,15.424948670398354,2.0311,6.9,10746.0,1992,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12365944276346647,35.225218992586136,6.270948059985745,13.608369999999999,2.7988014392758886,1.8337800047354695,False,True,False,False,False,5,-0.865071880902751,-0.5901179648729905,-0.17037917699031024
Flipper,5.5,5.777652323222656,95.0,17.05536482838727,1.5868,5.3,12026.0,1996,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08788523605489146,31.77708777772461,5.2615940416024,8.7274,2.893442861026921,1.9136307769773249,False,True,False,False,False,2,-0.9419693141670973,0.8692124703942243,-0.8062015023149438
Bachelor Mother,7.1,4.219507705176107,82.0,13.140205260167273,0.6295,7.5,4897.0,1939,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04451844852445609,29.958504706750357,5.799067162836218,4.469449999999999,2.6490221766408086,1.6524030880939045,False,True,False,False,False,1,-1.7276334573577203,-2.44214955334785,-0.740663678071874
The Prince & Me 4: The Elephant Adventure,6.2,4.394449154672439,90.0,14.731801689838349,0.8439,4.6,1471.0,2010,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05364293401594941,27.245584758969123,5.720895913538864,5.23218,2.755684248962421,1.6853704905634923,False,True,False,False,False,2,-1.7266780116390141,0.8522674819205281,-0.5325380874580785
I Am Dina,5.5,3.912023005428146,125.0,16.860033043306743,0.6416,6.5,5812.0,2002,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03592378572000723,21.5161265298548,6.998867230363004,3.5287999999999995,2.8825654255757986,1.5916858743493758,False,True,False,False,False,5,-1.520869720281055,-0.22689211815442795,-0.6286839907744235
Curse of the Pink Panther,4.6,5.198497031265826,109.0,16.213405921671733,1.9943,4.3,7058.0,1983,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1158573735537817,23.913086343822798,6.332273839122602,9.173779999999999,2.845688494284694,1.8243068483519838,False,True,False,False,False,2,-1.4126249473357972,0.23599089388188754,-0.47321672093450357
Operation Crossbow,6.8,4.68213122712422,115.0,11.652696102959753,1.1256,6.6,5804.0,1965,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.08896127677773724,31.838492344444695,9.088971952238612,7.6540799999999996,2.5378703231331703,1.7373263784001205,False,True,False,False,False,1,-1.7928646627878067,-3.312705613994223,0.33337771417729267
Blade II,6.558,8.48879371689454,117.0,17.804494623047066,4.6225,6.7,245688.0,2002,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24581889025268433,55.66950919539439,6.221916746255072,30.314354999999995,2.9340959169558567,2.2501114935725357,False,True,False,False,False,3,3.6289327114492216,-0.005407533862461289,-0.8471567420915442
Naked Gun 33⅓: The Final Insult,6.488,7.68937110752969,82.0,17.216707972959764,6.7144,6.5,117064.0,1994,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.36858470860742887,49.88863974565263,4.501362162785828,43.56302720000001,2.9023391934519456,2.162100566984116,False,True,False,False,False,0,2.0196675014003076,0.8447212497606491,0.4645963360245011
Prom Night,5.7,6.12029741895095,93.0,14.220976332738882,2.2992,5.3,22691.0,1980,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15105469910327882,34.885695288020415,6.109989133874795,13.10544,2.722674498387897,1.9629494968760168,False,True,False,False,False,1,-0.8976931442156381,-0.45235169839194966,-0.148368559898806
Asteroid,5.8,3.828641396489095,120.0,16.811242881518265,0.5877,4.7,2180.0,1997,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032996012906534644,22.206120099636752,6.737317591941735,3.40866,2.879829880465673,1.5745651437258248,False,True,False,False,False,2,-1.7639301394988787,0.4554428569841201,-0.726483637804739
The World Is Not Enough,6.28,8.012680929706839,128.0,18.72078534381011,4.7199,6.4,215286.0,1999,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23933631027942126,50.31963623855895,6.490613723969983,29.640972,2.9816731731183266,2.1986325778277935,False,True,False,False,False,3,3.1237102016824583,0.03566597340637412,-0.7856998490603464
Blade: Trinity,5.9,8.2987883944492,123.0,17.989897843244528,5.4951,5.8,196597.0,2004,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2893696451323896,48.96285152725029,6.477128050678591,32.42109,2.943907145307067,2.2298841115052594,False,True,False,False,False,0,2.876263529305244,0.36315815479920516,-0.3408448898120907
The Good Earth,6.235,4.204692619390966,139.0,14.845130332288226,6.399,7.5,5630.0,1937,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.4038464730681649,26.216258481902674,8.772411276211114,39.897765,2.7628622185611365,1.6495606454510718,False,True,False,False,False,1,-0.6239765983680751,-3.2276153184752068,1.9754218228243796
X2,7.03,9.248021438943871,133.0,18.5159909328476,0.3657,7.4,598940.0,2003,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01873847970407108,65.01359071577542,6.814924256607749,2.5708710000000004,2.9712341773525197,2.3270846566047227,False,True,False,False,False,3,8.041141701228321,-1.2844701184868486,-4.385723904891141
X-Men: The Last Stand,6.409,9.200087995511831,104.0,19.162618093443648,0.4002,6.6,561122.0,2006,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019848612821275154,58.963363963235324,5.15806030337985,2.5648817999999998,3.0038303005175546,2.3223963472639766,False,True,False,False,False,3,7.438365642124985,-0.06058380004442837,-4.454065320719828
Die Another Day,5.993,8.197263371414335,133.0,18.77133762260779,5.6602,6.1,235096.0,2002,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28628310881342556,49.126199384886114,6.7269095565855626,33.9215786,2.984233294105064,2.218905980176227,False,True,False,False,False,3,3.4958256157285743,0.13029220894416788,-0.5369441547056654
Never Say Never Again,6.048,7.310550158534422,134.0,17.399029524198163,10.2344,6.1,75505.0,1983,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5562467295647225,44.21420735881618,7.282992824364185,61.897651200000006,2.912297919973866,2.117525811072383,False,True,False,False,False,4,1.7922923104938309,-0.287637957183813,2.3256653868765205
Solarbabies,5.3,4.465908118654584,94.0,17.034386422832473,0.9375,4.8,5235.0,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.05198402529586901,23.669313028869293,5.212264936332467,4.96875,2.8922802923091946,1.6985302777514544,False,True,False,False,False,2,-1.5141263012311859,0.6559586336791059,-0.9952571873603958
Godzilla vs. King Ghidorah,7.0,5.472270673671475,103.0,16.300417291085605,2.3878,6.4,7794.0,1991,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13801979222954136,38.305894715700326,5.953613619081481,16.7146,2.85073062208483,1.867527001142399,False,False,True,False,False,2,-0.7685418343189417,-0.10775239897661787,-0.10696916265238306
20th Century Boys: Beginning of the End,6.7,4.61512051684126,142.0,16.811242881518265,1.0144,6.6,2890.0,2008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05695279137721413,30.92130746283644,7.972492483797719,6.79648,2.879829880465673,1.7254630513334037,False,False,True,False,False,5,-1.272750809497866,-0.5160903793734903,-0.26465343991055623
The Rocky Horror Picture Show,7.4,7.976251943745623,100.0,14.151983508870947,4.0143,7.4,175597.0,1975,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26493561042023117,59.024264383717615,6.599795989842093,29.705820000000006,2.7181314480634406,2.194582416985536,False,True,False,False,False,0,2.351185521677167,-1.7234237660475018,-0.15558246995094138
Solitary Man,5.9,5.793013608384144,90.0,16.52356082573315,1.8801,6.3,17508.0,2009,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10728983787582115,34.17878028946645,5.135942454563003,11.092590000000001,2.8635463083350072,1.9158946735023363,False,True,False,False,False,2,-0.682697723864588,0.8509289102315156,-0.6331938186850008
Space Dogs,5.2,3.9318256327243257,85.0,17.034386422832473,1.6613,5.0,1592.0,2010,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092118465305629,20.445493290166496,4.713218293492124,8.63876,2.8922802923091946,1.5957092304038698,False,False,False,True,False,2,-1.592807487920392,1.5827983367303249,-0.4425545613507714
A House of Your Dreams,5.7,5.529429087511423,100.0,16.118095750958314,1.2961,5.5,1746.0,2006,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07571519746449841,31.517745798815113,5.841771272625446,7.387770000000001,2.840136135027038,1.8763195102948889,False,False,False,True,False,2,-1.3087778848686036,0.6503930099068086,-0.4878916045386573
Boy Interrupted,7.5,3.8918202981106265,92.0,12.765691290604371,2.876,7.8,2417.0,2009,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20892521409099038,29.1886522358297,6.683282231005256,21.57,2.6221793582274318,1.5875644833216505,False,True,False,False,False,5,-1.1748727326346513,-1.0154679266437183,0.9901350859554652
Sgt. Pepper's Lonely Hearts Club Band,4.4,4.007333185232471,111.0,16.705882371415992,0.7405,4.3,7385.0,1978,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04182225909257411,17.632266015022875,6.269102983491864,3.2582000000000004,2.8738969217360877,1.6109034750189168,False,True,False,False,False,2,-1.8099635209471157,0.1702128027773155,-0.8759782691768228
