imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Outros,Romance,Science Fiction,Thriller,War,Western,20th Century Fox,Columbia Pictures,Goldwyn,Mayer,Metro,Paramount Pictures,RKO Radio Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
6.4,252834.0,1996,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3291700632661937,55.20785249561831,5.560216516535708,40.16192,2.94780204478482,2.264491347627746,False,True,False,False,False
8.1,360836.0,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462661565629918,66.94768910092671,6.420116525193613,58.228,2.755684248962421,2.2373488498507657,False,True,False,False,False
7.9,191061.0,2002,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3856434888877339,58.11991848495267,5.424806814613325,52.7835,2.9041375615516505,2.1689762647612185,False,False,True,False,False
8.1,303407.0,2004,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22502077279567104,63.667626751093394,5.060484587651781,27.74694,2.760564387649371,2.2151208407599206,False,True,False,False,False
8.0,191286.0,1984,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6618333738688429,65.82755106403226,7.897128596758379,78.4432,2.6956747101603242,2.222290440910619,False,False,True,False,False
6.1,127750.0,2006,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25987301776542004,45.07898127140445,6.693445402844045,30.7494,2.9816731731183266,2.1416136179512733,False,True,False,False,False
7.5,553846.0,1984,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5482177752441848,66.88256358844514,6.502195969284424,72.6070722,2.8985446631912657,2.318901831597798,False,True,False,False,False
7.1,270380.0,1987,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47771246613026397,64.06964501634599,6.021459206280506,58.1446215,2.809840562969964,2.276439810859652,False,True,False,False,False
7.4,224789.0,1984,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28837723235666046,60.249581066069084,6.015617243955369,36.246233499999995,2.859601388546752,2.2371752921174464,False,True,False,False,False
6.6,143935.0,1987,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25982334266415186,51.317196460764634,5.675645634205895,30.728958400000003,2.8985446631912657,2.183166087650818,False,True,False,False,False
6.7,134786.0,1982,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2841451886904676,51.62563065245855,5.382825421870149,33.2932572,2.8706634839297305,2.1720338811701727,False,True,False,False,False
7.8,107120.0,1999,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15878620442303368,57.86906781152578,5.966297115597619,20.541696,2.828994030514129,2.1485597535637297,False,False,False,True,False
8.1,636692.0,1998,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19694202481963946,71.56113629301178,6.946458599906662,24.1515897,2.715728374417829,2.2844773064553334,False,True,False,False,False
7.6,213864.0,1998,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18323866580037654,56.651409313257965,5.314688985508827,20.38671,2.7239746609577837,2.1702492173643164,False,False,False,True,False
