title,vote_average,vote_count,runtime,budget,popularity,imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,20th Century Fox,Columbia Pictures,DreamWorks Animation,Globus Productions,Goldwyn,Marvel Studios,Mayer,Metro,New Line Cinema,Orion Pictures,Outros,Paramount Pictures,RKO Radio Pictures,Rhône,The Asylum,"The Cannon Group, Golan",TriStar Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros,cluster,pca_0,pca_1,pca_2
Insurgent,6.364,9.22325659724273,119.0,18.5159909328476,7.8602,6.2,264911.0,2015,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.40275689956231747,58.696804984852726,6.097563808543775,50.022312799999995,2.9712341773525197,2.3246651834542753,False,True,False,False,False,14,5.176467474100504,-1.0238692029586298,0.1111212243020488
Allegiant,6.104,8.811205187562887,120.0,18.5159909328476,5.7808,5.7,141507.0,2016,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2962083770120156,53.783596464883864,6.148803840548345,35.2860032,2.9712341773525197,2.283525118994042,False,True,False,False,False,22,2.98805473294466,-1.2983095607317992,-0.33696998738879447
Automata,5.858,7.432483807917119,110.0,15.76142084987672,3.3136,6.0,60738.0,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.19769207095735988,43.53949014677848,6.56268946321511,19.4110688,2.819079867706262,2.132091367752254,False,True,False,False,False,21,0.47204808520463903,-0.303969539796228,-0.14891984369590722
Babysitting,6.788,7.57095858316901,85.0,15.039286283703994,1.7536,6.8,12818.0,2014,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10933154811144356,51.39166686255124,5.299487676478503,11.903436800000001,2.7750411054199615,2.148379579699845,False,False,False,True,False,24,-0.4432466989072018,-0.25184543457606573,-0.44866423436897557
The Games Maker,5.3,4.276666119016055,112.0,15.607270193858982,5.973,5.6,1486.0,2014,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3596617583911346,22.66633043078509,6.7440343110341665,31.656899999999997,2.809840562969964,1.6632944814375767,False,False,False,True,False,29,-0.7907429393735727,-0.6820255166617338,1.9000195808959566
WolfCop,5.2,5.389071729816501,79.0,13.542521348142413,0.6762,5.6,7917.0,2014,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.046498126687390035,28.023172995045805,5.432345472203212,3.5162400000000003,2.6770768647846768,1.8545889886375557,False,True,False,False,False,5,-2.197177848953041,-0.836531290240169,-0.13429958404367884
Monster Trucks,6.1,6.7650389767805414,104.0,18.643824303266577,3.0156,5.7,19820.0,2016,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1535138959422751,41.2667377583613,5.294284778484086,18.39516,2.9777630040964063,2.049631476134806,False,True,False,False,False,27,0.2766238008543439,-1.8335843669569432,-0.8899905749479978
Velaiyilla Pattathari,7.4,4.23410650459726,133.0,13.910821646859095,0.4049,7.9,9053.0,2014,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.027154774538215375,31.332388134019723,8.919696254834886,2.99626,2.7020872343581788,1.6551961525056738,False,False,True,False,False,18,-1.6703998662392037,2.931859999460537,-0.5621489703413465
Shaun the Sheep Movie,7.0,7.253470382684528,85.0,17.034386422832473,2.5677,7.3,45378.0,2015,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14237800720234972,50.774292678791696,4.713218293492124,17.9739,2.8922802923091946,2.110633764343762,False,True,False,False,False,27,0.6469715557908798,-1.1029841243630438,-0.7818466555876231
"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.128,6.484635235635252,103.0,16.811242881518265,2.624,6.1,21418.0,2016,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14732267801045928,39.73784472397282,5.782864266416656,16.079872,2.879829880465673,2.0128522839700533,False,True,False,False,False,17,-0.17118298626039552,-0.8569384828630057,-0.5275865783758942
Knock Knock,5.381,8.097730573664219,99.0,16.118095750958314,9.9146,4.9,111011.0,2015,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5791882545957225,43.57388821688716,5.783353559899192,53.3504626,2.840136135027038,2.208024994911142,False,True,False,False,False,2,2.5876320563392747,-1.7681626645826583,2.661945289779371
The Crossing I,5.5,3.6635616461296463,129.0,17.50439003707821,1.9363,6.1,2152.0,2014,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10464003385791884,20.149589053713054,6.971318683918572,10.64965,2.918008003234778,1.5397794579522743,False,False,True,False,False,28,-1.460314904140114,-0.1004752368458128,-0.5838014391867072
Huevos: Little Rooster's Egg-Cellent Adventure,6.9,5.375278407684165,99.0,15.483217567201578,1.401,5.7,1326.0,2015,9,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08499554133094255,37.08942101302074,6.006108916319281,9.6669,2.8023427461525863,1.8524277618844993,False,False,False,True,False,19,-1.2307612381199675,-0.3023006702116659,-0.41844271954415985
Death Clique,5.6,3.6888794541139363,83.0,14.508658238524095,2.871,5.4,1541.0,2014,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.18512239781442388,20.65772494303804,5.351849187947469,16.0776,2.7413984640023243,1.5451936315479267,False,True,False,False,False,5,-1.9469736612846877,-0.9425824255401403,0.8883578653655644
Room,8.0,9.143024664691316,118.0,16.380459992348886,4.412,8.1,469263.0,2015,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2538482872111683,73.14419731753053,6.789233429491809,35.296,2.8553465862504646,2.3167862440867824,False,True,False,False,False,25,7.041511124674408,1.7903532817492722,-1.7399433650606393
The Homesman,6.5,6.710523109452428,122.0,16.588099342704055,3.1254,6.6,37448.0,2014,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.17769970132085292,43.61840021144078,6.936508466482388,20.3151,2.8672224996255626,2.042586033451661,False,True,False,False,False,32,0.3477391769855043,0.35379733285166604,-0.3665745038634629
Magic Mike XXL,6.2,7.493317248862145,115.0,16.51013780630191,2.5902,5.6,62721.0,2015,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14792573471739243,46.4585669429453,6.567623925758679,16.05924,2.8627800164153867,2.139279648258017,False,True,False,False,False,9,0.5126220791260411,-0.28219145177660493,-0.7818470101116017
Mommy,8.2,7.922623574217286,138.0,15.404745967162468,2.3391,8.0,64119.0,2014,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14258678584125584,64.96551330858173,8.41219975464636,19.18062,2.797570681207066,2.188590026016424,False,False,False,True,False,32,1.2116900310518308,2.7724139580342824,-0.7463372204744485
Leviathan,7.4,6.790097235513905,141.0,15.201805169084134,1.84,7.6,58641.0,2014,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.11356759205517672,50.2467195428029,8.702733956402128,13.616000000000001,2.7851226662208344,2.052853341898967,False,False,False,True,False,32,0.37566496302378694,2.597371694952473,-0.7636564089871976
Wild Tales,7.866,8.163940954755008,122.0,15.201805169084134,3.7009,8.1,229725.0,2014,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2284251638244584,64.21755955010289,7.530025125397586,29.111279399999997,2.7851226662208344,2.21527632139666,False,False,False,True,False,7,3.426367741213375,2.1850256762364477,-0.6167799966340026
Wild Card,5.7,7.512071245835466,92.0,17.216707972959764,7.7589,5.6,62655.0,2015,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.42592218152242634,42.81880610126216,5.050308768003612,44.22573,2.9023391934519456,2.14148530261072,False,True,False,False,False,22,1.7076294048714993,-2.1056205909937886,1.5247405084795467
Stand by Me Doraemon,7.4,6.327936783729195,94.0,17.370858648025116,3.8918,7.3,10282.0,2014,8,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2118463853304087,46.826732199596044,5.116799481231928,28.79932,2.910765639997766,1.9916940006601098,False,False,True,False,False,27,0.4913433118960303,-0.7198513251376537,0.08273724762047413
Jauja,6.6,4.787491742782046,110.0,11.939368979463584,0.7004,6.3,4678.0,2014,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05412937841958317,31.597445502361502,8.501187358872285,4.62264,2.560274522772692,1.755698992678211,False,False,False,True,False,23,-2.3209475299718436,2.450837398574288,0.33193714077192393
A Girl at My Door,6.9,5.153291594497779,119.0,12.611541086966115,1.3605,7.0,3384.0,2014,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.09995194455260926,35.55771200203468,8.742580964175305,9.387450000000001,2.610918042212423,1.8169871572575529,False,False,True,False,False,18,-1.703218849957679,2.6746057117976716,0.3753289997785153
The Salvation,6.5,6.779921907472252,92.0,16.166885910365842,1.6087,6.7,44981.0,2014,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.09370948280308791,44.069492398569636,5.35915485664455,10.45655,2.842982290397648,2.0515463005399557,False,False,False,False,True,24,-0.15409059981288004,-0.33618543986526706,-0.9165670518956637
Sisters,6.0,7.2456550675945355,118.0,17.216707972959764,4.1543,6.0,72194.0,2015,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22804888820562397,43.473930405567216,6.47756994156985,24.925800000000002,2.9023391934519456,2.109686403139914,False,True,False,False,False,17,1.0737067440018153,-0.6410726350861378,-0.26132399892809804
The Gunman,5.7,6.873163834212518,115.0,17.50439003707821,4.6205,5.8,44314.0,2015,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24969750371353303,39.17703385501135,6.214741462408029,26.33685,2.918008003234778,2.0634599936152447,False,True,False,False,False,17,0.6920591101487469,-0.9882431990508574,0.024542260752992096
Jem and the Holograms,5.5,5.963579343618446,119.0,15.424948670398354,1.2108,4.2,8535.0,2015,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07371712534981302,32.79968638990145,7.245075913964113,6.659400000000001,2.7988014392758886,1.9406936156614254,False,True,False,False,False,13,-1.407755091710248,-0.20185781751201956,-0.6463257722307416
Pan,5.964,7.918264686095274,111.0,18.826145858727198,3.8182,5.7,68528.0,2015,9,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1925840769661886,47.224530587872216,5.598667577195258,22.7717448,2.987001564525397,2.1881013857486145,False,True,False,False,False,17,1.4044247080940089,-1.7389841577823393,-0.9243248164593437
Grimsby,6.0,7.761744984658913,83.0,17.370858648025116,4.4018,6.2,116001.0,2016,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.23960774421794362,46.57046990795348,4.518025073853724,26.4108,2.910765639997766,2.1703950842727577,False,True,False,False,False,22,1.7128539722336877,-1.9753189654278043,-0.32213910950054214
Kitchen in Paris,6.644,4.477336814478207,106.0,14.648420115681892,0.5129,6.8,2983.0,2014,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.032776471759344124,29.747425795393205,6.773846766407637,3.4077076,2.75036996081562,1.700619000072578,False,False,False,True,False,6,-1.8828457331615605,0.786293963643235,-0.5436362694825667
