genres,original_language,popularity,production_companies,release_date,budget,runtime,vote_average
Adventure-History-War,en,59.05,Horizon Pictures,1962-12-11,15000000.0,228.0,8.001
Action-Comedy-Fantasy,en,59.011,New Line Cinema-The Safran Company-Seven Bucks Productions-DC Films,2019-03-29,80000000.0,132.0,7.014
Horror-Mystery,en,58.998,New Line Cinema-Zide-Perry Productions-Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG-Hard Eight Pictures-Matinee Pictures-Practical Pictures,2006-02-09,25000000.0,93.0,6.1
Science Fiction-Action-Adventure,en,58.972,Dovemead Films-Alexander and Ilya Salkind Productions-International Film Production,1978-12-14,55000000.0,143.0,7.1
Animation-Family-Adventure-Fantasy,en,58.917,Walt Disney Productions,1953-02-05,4000000.0,77.0,7.2
Fantasy-Action,en,58.881,GH Three-Columbia Pictures-Relativity Media-Blue Light-Weed Road Pictures-Forward Pass-Overbrook Entertainment,2008-07-01,150000000.0,92.0,6.343
Thriller-Drama-Romance,ko,58.838,Moho Film-Yong Film-CJ Entertainment,2016-06-01,8575000.0,145.0,8.245
Fantasy-Family-Comedy-Animation,en,58.8,NeoReel-Columbia Pictures-Sony Pictures Animation-Hemisphere Media Capital-Kerner Entertainment Company,2013-07-30,105000000.0,105.0,5.8
Adventure-Animation-Comedy-Family,en,58.74,20th Century Fox-Blue Sky Studios-20th Century Fox Animation,2014-03-19,103000000.0,101.0,6.5
Thriller-Mystery-Science Fiction,en,58.727,Vertigo Entertainment-New Line Cinema-Warner Bros. Pictures,2022-09-21,35000000.0,123.0,6.858
Drama,en,58.63,Red Wagon Entertainment-Columbia Pictures,1999-12-21,40000000.0,127.0,7.6
Action-Fantasy-Thriller,en,58.517,Columbia Pictures-Marvel Entertainment-Crystal Sky Pictures-Michael De Luca Productions-Hyde Park Films-Arad Productions,2011-12-10,57000000.0,96.0,5.007
Drama-History,en,58.424,Paramount-Motion Picture Associates,1956-10-05,13000000.0,220.0,7.7
Fantasy-Horror-Action,en,58.301,Paramount-MTV Films-Gary Sanchez Productions-Studio Babelsberg-Metro-Goldwyn-Mayer-Deutscher Filmförderfonds,2013-01-17,50000000.0,88.0,6.014
Action-Science Fiction-Horror,en,58.277,Warner Bros. Pictures-Di Bonaventura Pictures-Gravity Pictures-Maeday Productions-Apelles Entertainment-Flagship Entertainment Group,2018-08-09,150000000.0,113.0,6.211
Animation-Comedy-Family-Adventure,en,58.259,Blue Sky Studios-20th Century Fox Animation-20th Century Fox,2009-06-26,90000000.0,94.0,6.735
Horror-Thriller-Mystery,en,58.233,Warner Bros. Pictures-Studio Babelsberg-Appian Way-StudioCanal-Dark Castle Entertainment-Don Carmody Productions,2009-07-24,20000000.0,123.0,6.994
Drama,en,58.21,Fantasy Films-United Artists,1975-11-19,3000000.0,133.0,8.421
Fantasy-Comedy-Family,en,58.195,Metro-Goldwyn-Mayer-StudioCanal-Three Strange Angels-Working Title Films-Nanny McPhee Productions,2005-10-21,25000000.0,97.0,6.636
Adventure-Action-Science Fiction,en,58.045,Lucasfilm Ltd.,1999-05-19,115000000.0,136.0,6.554
Adventure-Drama-Family,en,57.942,Lauren Levine Productions Inc.-Walden Media-Hal Lieberman Company-Walt Disney Pictures,2007-02-15,60000000.0,96.0,7.28
History-Drama-Thriller-War,en,57.939,Bristol Automotive-Black Bear Pictures-The Weinstein Company-FilmNation Entertainment,2014-11-14,14000000.0,113.0,8.007
Action-Science Fiction,en,57.904,EuropaCorp-Canal+-Ciné+-TF1 Films Production,2014-07-25,40000000.0,89.0,6.427
Adventure-Family-Fantasy,en,57.887,Legend3D-Walt Disney Pictures-Roth Films-Team Todd-Tim Burton Productions,2016-05-25,170000000.0,113.0,6.562
Action-Adventure-Science Fiction,en,57.765,Marvel Studios,2019-03-06,152000000.0,124.0,6.9
Comedy-Horror,en,57.703,Atmosphere Entertainment MM-Chako Film Company-Dimension Films-Intellectual Properties Worldwide-Aja / Levasseur Productions,2010-08-20,24000000.0,88.0,5.4
Science Fiction-Adventure-Drama-Action,en,57.501,APJAC Productions-20th Century Fox,1968-02-07,5800000.0,112.0,7.6
Animation-Comedy-Family-Western-Adventure,en,57.442,Paramount-Blind Wink-Nickelodeon Movies-GK Films-Industrial Light & Magic,2011-03-02,135000000.0,107.0,6.834
Action-Adventure-Science Fiction,en,57.415,Paramount-di Bonaventura Pictures-Ian Bryce Productions-Tom DeSanto/Don Murphy Production,2017-06-16,217000000.0,154.0,6.1
Horror-Mystery,en,57.396,Parallel Zide-New Line Cinema-Practical Pictures-FlipZide,2009-08-26,40000000.0,82.0,5.6
Horror-Drama-Mystery,en,57.373,B-Reel Films-Square Peg,2019-07-03,9000000.0,147.0,7.16
Action-Adventure-Comedy-Family-Science Fiction,en,57.264,Paramount-Nickelodeon Movies-Platinum Dunes-5150 Action-Gama Entertainment Partners,2016-06-01,135000000.0,112.0,6.0
Action-Adventure-Science Fiction,en,57.153,Marvel Studios,2018-02-13,200000000.0,135.0,7.391
Comedy,en,57.113,Maximum Effort-Gloria Sanchez Productions-Two Grown Men-Apple Studios,2022-11-10,75000000.0,127.0,7.0
Drama-Comedy-Thriller,en,57.067,Waypoint Entertainment-Element Pictures-Scarlet Films-Film4 Productions-Fox Searchlight Pictures,2018-11-23,15000000.0,120.0,7.516
Comedy-Science Fiction-Fantasy-Horror,en,57.042,Michael White Productions-20th Century Fox,1975-08-14,1400000.0,100.0,7.458
Drama,en,56.865,Destination Films-Provident Films-Samuel Goldwyn Films-Sherwood Pictures-Carmel Entertainment Group,2006-09-29,100000.0,111.0,7.5
Science Fiction-Adventure-Action,en,56.838,Amblin Entertainment-Village Roadshow Pictures-Warner Bros. Pictures-Dune Entertainment-De Line Pictures-Reliance Entertainment-Farah Films & Management,2018-03-28,175000000.0,140.0,7.617
Fantasy-Action-Crime,en,56.752,The Guber-Peters Company-Warner Bros. Pictures-Polygram Pictures,1989-06-21,35000000.0,126.0,7.22
Horror-Thriller,en,56.721,Alliance Films-Blumhouse Productions-FilmDistrict-IM Global-Stage 6 Films-Haunted Movies,2010-09-13,1500000.0,103.0,6.942
Drama,fr,56.664,ARTE France Cinéma-Canal+-ARTE-Ciné-@-F Comme Film-Cinémage 11-Trois Brigands Productions-Cofinova 13,2017-06-21,3000000.0,106.0,6.2
Adventure-Fantasy-Animation,ja,56.624,Studio Ghibli-Nibariki-dentsu Music And Entertainment-TNDG-Tokuma Shoten-Nippon Television Network Corporation-dentsu,1997-07-12,23500000.0,134.0,8.335
Action-Science Fiction-Thriller,en,56.554,Columbia Pictures-The Halcyon Company-Wonderland Sound and Vision-Warner Bros. Pictures-Mandate International-Intermedia Films,2009-05-20,200000000.0,117.0,6.0
Adventure-Action-Science Fiction,en,56.523,Lucasfilm Ltd.,2017-12-13,200000000.0,152.0,6.818
History-Comedy-Drama,en,56.395,Black Bear Pictures-Ryder Picture Company-Winklevoss Pictures,2023-09-15,30000000.0,104.0,6.7
Thriller-Adventure-Action,en,56.32,Nimar Studios-Rogue Marble-Millennium Media-Nu Image-Lionsgate-Thunder Road,2010-08-03,80000000.0,103.0,6.22
War-History-Drama,en,56.263,Videosonic Studios-BlackScreen Entertainment,2021-11-04,250000.0,120.0,6.5
Science Fiction-Horror-Thriller,en,56.262,Universal Pictures-Why Not Productions-Platinum Dunes-Blumhouse Productions,2013-05-31,3000000.0,86.0,6.255
Action-Romance-Animation,ja,56.244,Aniplex,2014-12-06,903852.0,114.0,7.7
Animation-Science Fiction-Action,ja,56.216,MBS-Sumitomo Corporation-TOHO-Studio Fuga-Studio Aoi-Kodansha-Bandai Entertainment-Tokyo Movie Shinsha,1988-07-16,10000000.0,124.0,7.9
Horror-Mystery-Thriller,en,56.204,Paramount Players-Temple Hill Entertainment,2022-09-23,17000000.0,115.0,6.688
Drama-Comedy-Thriller,en,56.157,LuckyChap Entertainment-MRC-Lie Still,2023-11-16,20000000.0,131.0,7.0
Action-Comedy-Crime,en,56.134,New Line Cinema,2007-08-08,140000000.0,91.0,6.4
Horror,es,56.043,Skyline Films-Laguna Productions,2006-06-20,250.0,90.0,6.7
Horror-Crime-Mystery,en,56.034,Twisted Pictures-Lionsgate-Serendipity Productions-Dahlstar,2021-05-12,20000000.0,93.0,6.1
Action-Drama-War,en,56.011,Warner Bros. Pictures-Legendary Pictures-Hollywood Gang Productions-Atmosphere Entertainment MM-Nimar Studios-Cruel & Unusual Films,2014-03-05,110000000.0,102.0,6.09
Action-Adventure,en,56.001,Paramount-Bad Robot-Odin-Skydance,2015-07-23,150000000.0,131.0,7.195
Crime-Drama-Thriller,es,55.908,Ecah Film,2021-08-11,1200000.0,106.0,5.9
Horror-Drama-Thriller,en,55.72,Shamley Productions,1960-06-22,806947.0,109.0,8.435
Adventure-Comedy-Fantasy-Family-Drama,en,55.714,Amblin Entertainment-Pariah Entertainment Group-Walden Media-Reliance Entertainment-Amblin Partners-DreamWorks Pictures-Universal Pictures,2017-01-19,22000000.0,100.0,7.606
Thriller-Action-Fantasy,en,55.685,Crystal Sky Pictures-Relativity Media-Michael De Luca Productions-GH One-Vengeance Productions Pty. Ltd.-Columbia Pictures-Marvel Studios,2007-01-15,110000000.0,114.0,5.5
Adventure-Fantasy-Action,en,55.368,Walt Disney Pictures-Jerry Bruckheimer Films,2010-05-19,200000000.0,116.0,6.256
Science Fiction-Thriller-Horror,en,55.356,Universal Pictures-Weed Road Pictures-Blumhouse Productions-Dino De Laurentiis Company-BoulderLight Pictures,2022-05-12,12000000.0,94.0,5.808
Fantasy-Drama-Mystery,en,55.307,Flower Films-Gaylord Films-Adam Fields Productions-Pandora Cinema,2001-01-19,4500000.0,114.0,7.778
Action-Adventure-Thriller,en,55.116,Davis Films-Nu Image-Ex3 Productions-Fipex Holding-Lionsgate-Millennium Films,2014-08-07,95000000.0,126.0,6.2
Comedy-Romance,en,55.083,Touchstone Pictures-Silver Screen Partners IV,1990-03-23,14000000.0,119.0,7.4
Music-Drama,en,55.063,20th Century Fox-Regency Enterprises-GK Films-TSG Entertainment,2018-10-24,52000000.0,135.0,7.995
Adventure-Animation-Family,en,54.922,Pixar,2015-11-14,175000000.0,93.0,6.742
Action-Adventure-Science Fiction,en,54.87,Skydance Media-Paramount Pictures-Bad Robot-Perfect Storm Entertainment-Sneaky Shark,2016-07-07,185000000.0,122.0,6.8
Adventure-Drama-Action-Romance-Family,en,54.853,Columbia Pictures-Delphi II Productions,1986-06-18,13000000.0,113.0,6.279
Comedy-Family-Animation,en,54.853,Universal Pictures-Universal 1440 Entertainment,2017-10-05,10000000.0,91.0,6.7
Drama-War,en,54.811,Warner Bros. Pictures-Stanley Kubrick Productions-Natant,1987-06-26,30000000.0,117.0,8.144
Adventure-Action-Thriller,en,54.761,Paramount-Cruise/Wagner Productions,1996-05-22,80000000.0,110.0,6.971
Comedy-Horror,en,54.645,Endgame Entertainment-Wayans Bros. Entertainment-Automatik Entertainment-IM Global Octane,2014-04-17,4000000.0,87.0,6.1
Drama-Science Fiction-Mystery,en,54.631,FilmNation Entertainment-Lava Bear Films-Reliance Entertainment-Xenolinguistics-21 Laps Entertainment-Paramount,2016-11-10,47000000.0,116.0,7.579
Action-Science Fiction-Adventure-Mystery,en,54.604,Universal Pictures-Relativity Media-Monolith Pictures (III)-Chernin Entertainment-Radical Studios,2013-04-10,120000000.0,124.0,6.624
Mystery-Horror-Thriller,en,54.52,Village Roadshow Pictures-Dark Castle Entertainment-Warner Bros. Pictures,2005-05-05,40000000.0,113.0,6.0
Action-Adventure-Science Fiction,en,54.508,Marvel Studios,2018-07-04,140000000.0,119.0,6.938
Comedy-Western,en,54.446,RGB Media-Fuzzy Door Productions-MRC-Bluegrass Films,2014-05-22,40000000.0,116.0,6.01
Comedy-Drama,en,54.424,Relativity Media-Columbia Pictures-Happy Madison Productions,2012-06-14,70000000.0,116.0,5.8
Adventure-Action-Thriller-Science Fiction,en,54.368,Village Roadshow Pictures-Silver Pictures-NPV Entertainment,2003-05-15,150000000.0,138.0,7.053
Animation-Action-Comedy-Family-Science Fiction,en,54.257,DreamWorks Animation,2010-10-28,130000000.0,96.0,6.945
Comedy-Romance,en,54.256,Universal Pictures-Summit Entertainment-Newmarket Capital Group-Zide-Perry Productions,1999-07-09,11000000.0,95.0,6.553
Science Fiction-Action,en,54.184,Columbia Pictures-Relativity Media-Original Film-Sony Pictures,2011-03-08,70000000.0,116.0,5.7
Adventure-History-Drama,fr,54.158,Pathé-Chapter 2-M6 Films-DeAPlaneta-Constantin Film-ZDF-uMedia,2023-04-05,27500000.0,121.0,7.451
Thriller-Crime,en,54.155,Summit Entertainment-K/O Paper Products-SOIXAN7E QUIN5E-See Me Louisiana,2013-05-29,75000000.0,116.0,7.3
Action-Thriller-Science Fiction,en,54.099,Orion Pictures-Pacific Western-Hemdale Film-Cinema 84-Euro Film Funding,1984-10-26,6400000.0,108.0,7.6
Science Fiction-Action-Thriller-Adventure,en,54.087,20th Century Fox-Gotham Group-Temple Hill Entertainment-TSG Entertainment,2015-09-09,61000000.0,131.0,6.725
Fantasy-Action-Thriller,en,53.977,Entertainment Media Investment Corporation-Jeff Most Productions-Pressman Film-Miramax,1994-05-11,23000000.0,102.0,7.523
Crime-Drama-Thriller-Action,en,53.929,"Skydance-H2L Media ""AKA"" Mutual Film Company-H2L Media Group-TC Productions-Mutual Films-Paramount",2012-12-20,60000000.0,130.0,6.593
Family-Animation-Romance-Fantasy,en,53.915,Disney Television Animation-Walt Disney Animation Japan,2002-02-23,5000000.0,74.0,6.1
Drama,en,53.891,Columbia Pictures-Overbrook Entertainment-Escape Artists-Relativity Media,2006-12-14,55000000.0,117.0,7.902
Adventure-Fantasy-Family,en,53.882,Metro-Goldwyn-Mayer,1939-08-15,2777000.0,102.0,7.6
Documentary,en,53.88,Karbonshark-WeBros Entertainment,2017-03-28,500000.0,90.0,5.367
Drama-Romance,en,53.875,American Zoetrope-Muse Productions-Eternity Pictures,2000-04-21,6000000.0,97.0,7.109
Drama-Thriller-Crime-Mystery,fr,53.873,Wild Bunch-Eskwad-StudioCanal-Les Cinémas de la Zone-Nord-Ouest Productions-120 Films-Canal+,2002-05-22,3500000.0,98.0,7.241
Action-Drama-Mystery-Thriller-Crime,en,53.804,Paramount-Di Bonaventura Pictures-Grosvenor Park Impact Productions,2007-03-22,61000000.0,124.0,7.1
Science Fiction-Action-Thriller,en,53.72,Davis Entertainment-20th Century Fox-Dune Entertainment-Troublemaker Studios,2010-07-03,40000000.0,107.0,6.241
Comedy-Crime-Drama,en,53.698,Universal Pictures,1992-09-09,23000000.0,126.0,6.898
Horror-Thriller,en,53.509,Lionsgate-Twisted Pictures-Mandate Pictures,2009-10-22,11000000.0,90.0,6.3
Fantasy-Drama-Romance,en,53.489,Universal Pictures-City Light Films,1998-11-12,90000000.0,178.0,7.267
Horror-Thriller,en,53.485,New Line Cinema-Atomic Monster,2019-04-17,9000000.0,93.0,5.698
Family-Comedy-Adventure-Animation-Fantasy,en,53.444,Columbia Pictures-Olive Bridge Entertainment-Animal Logic-MRC-2.0 Entertainment,2021-03-25,45000000.0,93.0,7.219
Comedy-Drama-Romance,en,53.376,Darren Star Productions-New Line Cinema-HBO,2008-05-12,65000000.0,145.0,6.6
Drama,en,53.371,A Steven Haft Production-Witt/Thomas Productions,1989-06-02,16400000.0,128.0,8.3
Adventure-Fantasy-Animation-Action-Family-Romance,ja,53.278,Studio Ghibli-Nibariki-Tokuma Shoten,1986-08-02,3000000.0,125.0,7.977
Drama-History-War-Action,en,53.265,Centropolis Entertainment-Mutual Film Company-Global Medien KG-Columbia Pictures-Sony Pictures,2000-06-28,110000000.0,165.0,7.2
Animation-Adventure-Comedy-Family-Fantasy,en,53.256,Dark Horse Entertainment-Octopolis-nWave Pictures,2022-02-16,20000000.0,91.0,7.5
Science Fiction-Action,en,53.251,Lightstorm Entertainment-Skydance-20th Century Fox-Paramount-Tencent Pictures-TSG Entertainment-Ministry of Finance of Spain-Ministerio de Cultura-Hungarian National Film Fund-Mid Atlantic Films,2019-10-23,185000000.0,128.0,6.455
Drama-Animation-Family,en,53.222,Walt Disney Pictures-Walt Disney Feature Animation,1996-06-21,100000000.0,91.0,7.1
Action-Animation-Fantasy,ja,53.156,Toei Animation-Marza Animation Planet,2014-06-21,23000000.0,93.0,6.5
Comedy-Romance,en,53.13,Ingenious Media-1492 Pictures-Fox Atomic-Dune Entertainment III-Bece Canada Productions,2009-07-10,18000000.0,102.0,5.928
Family-Fantasy-Adventure,en,53.119,Walt Disney Pictures-Roth Films-Team Todd-Tim Burton Productions-The Zanuck Company,2010-03-03,200000000.0,108.0,6.616
Crime-Thriller,en,53.035,Universal Pictures-Canal+-StudioCanal-Working Title Films-Cross Creek Pictures-Anton Capital Entertainment (ACE),2015-09-09,25000000.0,132.0,7.0
Horror-Thriller,en,52.959,Summit Entertainment-Constantin Film,2011-10-17,3000000.0,93.0,5.7
Action-Comedy-Crime,en,52.877,Roger Birnbaum Productions-New Line Cinema-Caravan Pictures,1998-09-18,33000000.0,98.0,7.003
Crime-Drama-Thriller,en,52.798,Sierra/Affinity-Bold Films,2014-10-23,8500000.0,118.0,7.697
War-Action-Drama,en,52.779,Playtone-Bron Studios-FilmNation Entertainment-Sycamore Pictures-Zhengfu Pictures-Sony Pictures-Stage 6 Films,2020-07-09,50300000.0,92.0,7.4
Comedy,en,52.774,Gary Sanchez Productions-Paramount Pictures-Apatow Productions,2013-12-18,50000000.0,119.0,6.1
Action-Adventure-Science Fiction,en,52.653,Marvel Studios,2013-04-18,200000000.0,130.0,6.927
Drama-Horror-Mystery,en,52.646,Phantom Four-TSG Entertainment-Double Dare You Productions-Searchlight Pictures-Mirada Studio,2021-10-28,17000000.0,99.0,6.291
Family-Animation-Comedy-Science Fiction,en,52.637,Warner Bros. Pictures Animation-SpringHill Entertainment-Proximity Media-Warner Bros. Pictures,2021-07-08,150000000.0,115.0,6.8
Drama-Thriller-Mystery-Action,ko,52.627,Show East-CJ Entertainment-Egg Film-Cineclick Asia,2003-11-21,3000000.0,120.0,8.266
Animation-Family-Fantasy-Adventure,ja,52.624,Studio Ghibli-Nibariki-Studio Fuga-Tokuma Shoten-Nippon Television Network Corporation,1989-07-29,6900000.0,103.0,7.8
Drama-War-Romance,en,52.599,Selznick International Pictures-Metro-Goldwyn-Mayer,1939-12-15,4000000.0,233.0,8.0
Horror-Comedy-Fantasy,en,52.493,Trimark Pictures,1993-01-08,1000000.0,91.0,5.6
Comedy-Romance,en,52.475,Loumolo & Co.-Universal Pictures-LivePlanet-Zide-Perry Productions,2003-08-01,55000000.0,103.0,6.2
Drama-Romance,en,52.456,Universal Pictures-StudioCanal-Scion Films-Focus Features-Working Title Films,2005-09-16,28000000.0,127.0,8.1
Horror,en,52.377,Renaissance Pictures,1981-09-10,350000.0,85.0,7.3
Drama,en,52.334,Warner Bros. Pictures-Alcon Entertainment,2009-11-20,29000000.0,129.0,7.7
Drama-Romance,en,52.255,Fox 2000 Pictures-Temple Hill Entertainment,2015-04-09,34000000.0,128.0,7.6
Animation-Action-Adventure-Comedy-Family,en,52.254,Chernin Entertainment-Blue Sky Studios-20th Century Fox Animation-20th Century Fox,2019-12-04,100000000.0,102.0,7.6
Romance-Comedy,fr,52.195,UGC-Orange Studio,2022-04-06,22000000.0,97.0,6.3
Action-Mystery-Thriller,en,52.075,Studio Babelsberg-StudioCanal-Dark Castle Entertainment-Panda Productions Inc.-Horticus UK-Canal+-TF1 Films Production-Warner Bros. Pictures-Deutscher Filmförderfonds,2011-02-16,30000000.0,113.0,6.7
Action-Thriller,en,52.002,Universal Pictures-Wayfare Entertainment-Sanctum Australia-Relativity Media-Great Wight Productions/ Osford Films-Start Motion Pictures,2011-02-03,30000000.0,108.0,6.0
Action-Adventure-Crime-Mystery-Thriller,en,51.943,Dark Castle Entertainment-Weed Road Pictures-Warner Bros. Pictures-DC Vertigo,2010-04-23,25000000.0,97.0,6.3
Drama-Comedy-Romance,en,51.94,The Weinstein Company,2012-11-16,21000000.0,122.0,7.131
History-Drama,en,51.908,Groundswell Productions-Jinks/Cohen Company,2008-11-05,20000000.0,128.0,7.2
Action-Adventure-Thriller,ko,51.896,CJ Entertainment-Dexter Studios-Perfect Storm Film-Dexter Pictures,2019-12-19,17700000.0,128.0,6.765
Family-Comedy-Fantasy-Adventure,en,51.862,Universal Pictures-Team Downey-Perfect World Pictures-Roth-Kirschenbaum Films,2020-01-02,175000000.0,101.0,6.6
Comedy,en,51.821,New Line Cinema-Universal Pictures-Conundrum Entertainment-Red Granite Pictures,2014-11-12,40000000.0,110.0,5.6
Action-Crime-Thriller,en,51.707,EuropaCorp-Grive Productions-M6 Films-Ciné+-20th Century Fox-Canal+-Dune Entertainment-Taken 2-Fox International Productions,2012-09-27,45000000.0,91.0,6.3
Horror-Mystery,en,51.7,Dimension Films-Outerbanks Entertainment,2011-04-13,40000000.0,111.0,6.5
Drama-Thriller-Crime,en,51.644,FilmDistrict-Bold Films-Marc Platt Productions-OddLot Entertainment-Motel Movies-Newbridge Film Capital,2011-09-15,15000000.0,100.0,7.581
Animation-Family-Adventure-Comedy,en,51.613,Walt Disney Animation Studios-Walt Disney Pictures,2008-11-21,150000000.0,98.0,6.485
Comedy-Adventure-Family-Fantasy,en,51.576,Universal Pictures-Imagine Entertainment-DreamWorks Pictures,2003-11-21,109000000.0,81.0,5.322
Animation-Adventure-Family-Western,en,51.554,Universal Pictures-DreamWorks Animation,2021-05-20,30000000.0,88.0,7.361
Action-Adventure-Science Fiction,en,51.529,Lionsgate-Saban Brands-Saban Films-Temple Hill Entertainment,2017-03-23,105000000.0,124.0,6.3
Comedy,en,51.504,Universal Pictures,2012-04-04,50000000.0,113.0,6.3
Fantasy-Action-Horror,en,51.489,Lakeshore Entertainment-Screen Gems-Sketch Films-UW4 Productions,2012-01-19,70000000.0,88.0,6.3
Action-Crime-Drama,en,51.484,Warner Bros. Pictures-Regency Enterprises-Forward Pass,1995-12-15,60000000.0,170.0,7.9
Drama,en,51.47,Columbia Pictures-Initial Entertainment Group-Forward Pass-Overbrook Entertainment-Peters Entertainment-Lee Caplin / Picture Entertainment,2001-12-10,107000000.0,157.0,6.76
Action-Comedy-Crime-Fantasy,cn,51.464,Star Overseas-China Film Co-Production Corporation-Huayi Brothers Pictures-Beijing Film Studio-China Film Group Corporation-Columbia Pictures-Sony Pictures Classics-Columbia Pictures Film Production Asia,2004-02-10,20000000.0,99.0,7.438
Action-Adventure-Drama-Family,en,51.46,Columbia Pictures-Sony Pictures-Overbrook Entertainment-Jerry Weintraub Productions-China Film Group-Zwart Arbeid,2010-06-10,40000000.0,140.0,6.5
Science Fiction-Action-Adventure,en,51.459,20th Century Fox-The Donners' Company-Genre Films-Hutch Parker Entertainment,2019-06-05,200000000.0,114.0,6.0
Action-Adventure-Fantasy,en,51.35,DC Entertainment-Dune Entertainment-Warner Bros. Pictures-Atlas Entertainment-DC Comics-DC Films-Lin Pictures,2016-08-03,175000000.0,123.0,5.9
Action-Adventure-Comedy,en,51.339,Wonderland Sound and Vision-Tall Trees Productions-Flower Films-Columbia Pictures,2003-06-27,120000000.0,106.0,5.5
Horror,en,51.283,United Artists-David Kirschner Productions,1988-11-09,9000000.0,87.0,6.7
Action-Comedy-Romance,en,51.179,Marc Platt Productions-Big Talk Productions-Closed on Mondays Entertainment-dentsu,2010-08-12,85000000.0,113.0,7.487
Animation-Adventure-Comedy-Family-Fantasy,en,51.124,Reel FX Creative Studios-20th Century Fox Animation-Chatrone,2014-10-01,50000000.0,95.0,7.535
Comedy,en,51.067,Universal Pictures-Capital Arts Entertainment-Universal Pictures Home Entertainment,2009-06-18,7000000.0,93.0,5.3
Adventure-Fantasy-Action,en,51.047,Atlas Entertainment-Relativity Media-Mandate International,2011-01-07,40000000.0,95.0,5.4
Adventure-History-War-Action,en,51.038,Warner Bros. Pictures-Plan B Entertainment-Nimar Studios-Radiant Productions-Helena Productions-Latina Pictures,2004-05-03,175000000.0,163.0,7.142
Action-Crime-Drama-Thriller,en,50.958,Columbia Pictures-Lionsgate-Thunder Road-Black Label Media,2018-06-27,35000000.0,122.0,6.9
Action-Thriller-Science Fiction,en,50.774,Columbia Pictures-Intermedia Films-C-2 Pictures-IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG-Mostow/Lieberman Productions-Warner Bros. Pictures-Senator International,2003-07-02,200000000.0,109.0,6.129
Horror-History-Drama-Thriller,en,50.758,Universal Pictures-Stuber Productions-Relativity Media,2010-02-10,150000000.0,102.0,5.832
Science Fiction-Action-Crime,en,50.717,Metro-Goldwyn-Mayer-Columbia Pictures-Strike Entertainment-MGM,2014-01-30,120000000.0,118.0,5.855
Family-Drama,en,50.53,Columbia Pictures-Sony Pictures-Affirm Films-Roth Films-Franklin Entertainment,2016-03-17,16000000.0,119.0,7.4
Family-Animation-Fantasy-Action-Adventure,en,50.467,DreamWorks Animation,2012-11-21,145000000.0,97.0,7.4
Comedy,en,50.423,Blue Askew-View Askew Productions-The Weinstein Company,2008-09-18,24000000.0,102.0,6.3
Comedy-Horror,en,50.257,Oops Doughnuts Productions-Broken Road Productions-Brucks Entertainment,2015-10-23,15000000.0,93.0,6.5
Crime-Drama-Thriller,en,50.163,Warner Bros. Pictures-Gran Via Productions,2021-01-28,30000000.0,128.0,6.337
Drama-Family-Music-Romance,en,50.155,Robert Wise Productions-Argyle Enterprises-20th Century Fox,1965-03-29,8200000.0,174.0,7.7
Drama-Romance,en,50.135,Focus Features-River Road Entertainment-Alberta Film Entertainment,2005-09-10,14000000.0,134.0,7.798
Action-Adventure-Thriller-War,en,50.09,Carolco Pictures-Anabasis N.V.-Elcajo Productions-Cinema 84,1982-10-22,15000000.0,93.0,7.5
Horror-Thriller,en,50.014,Universal Pictures-Zanuck/Brown Productions,1978-06-16,20000000.0,117.0,5.971
Action-Horror-Thriller,en,49.913,Universal Pictures-Why Not Productions-Platinum Dunes-Blumhouse Productions,2016-06-29,10000000.0,105.0,6.4
Action-Horror-Thriller,ko,49.91,Vantage Holdings-Next Entertainment World-RedPeter Film,2020-07-15,17000000.0,115.0,6.801
Science Fiction-Action-Adventure,en,49.898,Davis Entertainment-TSG Entertainment-20th Century Fox-Dark Castle Entertainment-Canada Film Capital,2018-09-05,88000000.0,107.0,5.6
Action-Thriller,en,49.868,Open Road Films-Millennium Media-Universal Pictures,2013-11-12,22000000.0,100.0,6.959
Adventure-Action-Thriller-Science Fiction,en,49.851,Village Roadshow Pictures-NPV Entertainment-Silver Pictures,2003-11-05,150000000.0,129.0,6.723
Animation-Family-Fantasy,en,49.834,Walt Disney Productions,1940-02-23,2600000.0,88.0,7.105
Adventure-Action-Fantasy,en,49.785,Universal Pictures-China Film Co-Production Corporation-Shanghai Film Group-Relativity Media-Alphaville Films-Sommers Company The-Beijing Happy Pictures-Giant Studios-Internationale Filmproduktion Blackbird Dritte-Nowita Pictures-Mel's Cite du Cinema-Hivemind,2008-07-01,145000000.0,112.0,5.5
Action-Drama-Thriller,en,49.772,Columbia Pictures-Michael De Luca Productions-Scott Rudin Productions-Trigger Street Productions,2013-10-10,55000000.0,134.0,7.6
Drama-Romance-War,en,49.768,Warner Bros. Pictures-Hawk Films-Peregrine,1975-12-18,11000000.0,185.0,8.0
Family-Animation-Fantasy-Adventure-Comedy-Music,en,49.736,DreamWorks Animation,2016-10-13,125000000.0,92.0,6.7
Comedy,en,49.727,Dimension Films-415 Project-Brad Grey Pictures-Scary Movie 4-Miramax,2006-04-12,45000000.0,83.0,5.484
Drama-Western,en,49.699,Warner Bros. Pictures-George Stevens Jr. Productions,1956-11-08,5400000.0,201.0,7.6
Crime-Thriller-Drama,en,49.688,Searchlight Pictures-Double Dare You Productions,2021-12-02,60000000.0,150.0,6.998
