title,popularity,budget,runtime,vote_average,vote_count,release_year,release_month,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Outros,Romance,Science Fiction,Thriller,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
The Cable Guy,20.79,17.665658180950928,96.0,6.0,7.627544390488503,1996,6,0,0,1,0,1,0,0,0,0,0,0,0,1,1.1138101747313176,45.76526634293102,5.143135005974338,124.74,2.9266853745870955,2.1549599212087176,False,True,False,False,False
Oldboy,20.787,17.216707972959764,104.0,5.9,7.451241684987676,2013,11,1,0,0,0,1,0,0,0,1,0,0,0,1,1.1410953082662074,43.96232594142729,5.709044694264953,122.6433,2.9023391934519456,2.1343133755426837,False,True,False,False,False
Outlander,20.786,17.72753358339242,115.0,6.4,6.98933526597456,2008,4,1,0,0,0,0,0,1,0,0,0,0,1,0,1.109916578573541,44.73174570223719,6.1406911640506685,133.03040000000001,2.9299948251044747,2.0781075605693604,False,True,False,False,False
A Frozen Flower,20.785,16.118095750958314,133.0,6.954,4.700480365792417,2008,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1.214212159015199,32.68714046372046,7.769555792591844,144.53889,2.840136135027038,1.7405504459900154,False,False,True,False,False
The Adventurer: The Curse of the Midas Box,20.783,17.034386422832473,99.0,5.7,5.2574953720277815,2013,12,0,1,0,0,0,1,1,0,0,0,0,0,0,1.1524095975723156,29.967723620558356,5.489513071243768,118.46310000000001,2.8922802923091946,1.8337800047354695,False,True,False,False,False
Blow,20.78,17.78580249038432,124.0,7.366,8.25582842728183,2001,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1.1061545020840302,60.812432195357964,6.600729463831556,153.06548,2.9331013978571123,2.225253453341207,False,True,False,False,False
4x4,20.78,14.914123179965662,87.0,6.4,4.499809670330265,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.30575839868828,28.7987818901137,5.466842188925908,132.99200000000002,2.767206965277634,1.7047134862451474,False,False,False,True,False
Wild Indian,20.77,16.811242881518265,90.0,5.7,3.5553480614894135,2021,9,0,0,0,1,1,0,0,0,0,0,0,0,1,1.1661173865385819,20.265483950489656,5.052988193956301,118.389,2.879829880465673,1.5163019408528369,False,True,False,False,False
Blunt Force Trauma,20.768,13.815511557963774,92.0,5.2,4.248495242049359,2015,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1.401774074337419,22.09217525865667,6.209707956425392,107.9936,2.6956747101603242,1.6579414149579819,False,True,False,False,False
Moonlight,20.761,15.201805169084134,111.0,7.4,8.760453046315272,2016,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2814004231834368,64.82735254273301,6.851088433763378,153.6314,2.7851226662208344,2.278338818027531,False,True,False,False,False
R.L. Stine's Monsterville: The Cabinet of Souls,20.761,15.29711532616119,85.0,6.8,4.882801922586371,2015,9,0,0,1,0,0,0,0,1,0,0,0,0,0,1.2739064297270506,33.20305307358732,5.215646959529854,141.1748,2.7909881182958545,1.7720331658588133,False,True,False,False,False
Ghosts of Girlfriends Past,20.751,17.439851517607305,115.0,5.948,7.62657020629066,2009,5,0,0,1,0,0,0,1,0,0,0,1,0,0,1.1253344410168322,45.36283958701685,6.2364927336964815,123.42694800000001,2.9145141659055356,2.1548469992510695,False,True,False,False,False
Lethal Weapon 4,20.745,18.757152987716434,127.0,6.6,7.725330037917135,1998,7,1,1,1,1,0,0,0,0,0,0,0,0,1,1.0499994616075372,50.98717825025309,6.428051656985163,136.917,2.9835156023702574,2.1662302940684532,False,True,False,False,False
The Pink Panther,20.745,17.989897843244528,93.0,5.824,7.43543801981455,2006,2,0,1,1,1,0,1,0,0,1,0,0,0,0,1.0924229383034745,43.30399102739994,4.897340721244788,120.81888000000001,2.943907145307067,2.1324416434955027,False,True,False,False,False
Lost in Translation,20.744,15.201805169084134,102.0,7.393,8.764365720529808,2003,9,0,0,1,0,1,0,0,0,0,0,1,0,0,1.2803511573872748,64.79495577187687,6.295594776971752,153.360392,2.7851226662208344,2.2787396078441877,False,True,False,False,False
The Nativity Story,20.74,17.370858648025116,101.0,6.9,5.147494476813453,2006,11,0,0,0,0,1,0,0,0,0,1,0,0,0,1.1289619280930872,35.517711890012826,5.497837740472604,143.106,2.910765639997766,1.8160445966634724,False,True,False,False,False
Mortdecai,20.735,17.909855136853043,107.0,5.505,7.80994708647679,2015,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0965181832403341,42.99375871105473,5.658425155858006,114.146175,2.939683221977514,2.1758814338547725,False,True,False,False,False
Deep Rising,20.721,17.622173069956816,106.0,6.2,6.3473892096560105,1998,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1.1127058008836372,39.35381309986727,5.692139129079945,128.4702,2.92435297126682,1.9943450405522716,False,True,False,False,False
The Butterfly Effect 2,20.72,15.607270193858982,95.0,4.9,6.659293919683638,2006,8,0,0,0,0,1,0,0,0,0,0,0,1,1,1.2476463475413209,32.63054020644983,5.7203862459664805,101.528,2.809840562969964,2.0359198019168927,False,True,False,False,False
The Muppets,20.719,17.622173069956816,103.0,6.7,7.215239978730097,2011,11,0,0,1,0,0,0,0,0,0,1,0,0,0,1.1125984020321453,48.342107857491655,5.5310408518418335,138.81730000000002,2.92435297126682,2.10599096332429,False,True,False,False,False
Mr. Nobody,20.709,17.665658180950928,141.0,7.833,8.587465244401569,2009,11,0,0,0,0,1,0,1,0,0,0,1,1,0,1.1094706545700268,67.26561525939749,7.553979540024809,162.213597,2.9266853745870955,2.2604565415917914,False,True,False,False,False
Doom,20.709,17.909855136853043,105.0,5.095,7.557994958530806,2005,10,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0951432388099387,38.50798431371445,5.552660199673745,105.512355,2.939683221977514,2.146865928900131,False,True,False,False,False
Basquiat,20.7,14.901392829361386,108.0,6.6,5.560681631015528,1996,8,0,0,0,0,1,0,0,0,0,1,0,0,0,1.3017727580302365,36.70049876470248,6.791857867983843,136.61999999999998,2.7664067047204934,1.8810945047250232,False,True,False,False,False
Blue Velvet,20.687,15.607270193858982,120.0,7.63,7.974532844130228,1986,9,0,0,0,1,1,0,0,0,1,0,0,0,1,1.2456592660032484,60.84568560071364,7.225751047536607,157.84181,2.809840562969964,2.1943908822263634,False,True,False,False,False
2010,20.684,17.147715103853763,116.0,6.6,6.674561391814426,1984,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1.139757808717619,44.05210518597521,6.391989257940621,136.5144,2.8985446631912657,2.037911144193943,False,True,False,False,False
Blast from the Past,20.682,17.370858648025116,112.0,6.694,6.804614520062624,1999,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1.1258047539450928,45.550089597299205,6.096612147850808,138.44530799999998,2.910765639997766,2.0547151639024506,False,True,False,False,False
The Adjustment Bureau,20.676,17.731525604582277,106.0,6.718,8.294799358992574,2011,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1.1038075828133318,55.72446209371211,5.65890906259495,138.901368,2.9302079655992714,2.229455035033228,False,True,False,False,False
Pound of Flesh,20.667,15.830413711839864,104.0,5.8,5.241747015059643,2015,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2279555543819565,30.402132687345926,6.17928957544508,119.8686,2.8231875897092538,1.83126011355907,False,True,False,False,False
Hellbound: Hellraiser II,20.663,14.914123179965662,97.0,6.4,6.813444599510896,1988,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1.2984064385031726,43.606045436869735,6.09521485431969,132.2432,2.767206965277634,2.0558459164910423,False,True,False,False,False
Initial D,20.662,14.25312076497659,107.0,6.8,5.351858133476067,2005,5,1,0,0,1,1,0,0,0,0,0,0,0,1,1.3546080384705923,36.39263530763725,7.01495789934921,140.5016,2.7247841224437788,1.8487473895449305,False,False,True,False,False
30 Days of Night,20.654,17.216707972959764,113.0,6.4,7.774435510302958,2007,10,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1337943184168109,49.75638726593893,6.203096638960958,132.1856,2.9023391934519456,2.1718424379725065,False,True,False,False,False
Just Mercy,20.65,17.034386422832473,137.0,7.919,7.537962659768208,2019,12,0,0,0,1,1,0,0,0,0,1,0,0,0,1.1450347971836747,59.69312630270444,7.596598896569659,163.52734999999998,2.8922802923091946,2.144522414909506,False,True,False,False,False
Selena,20.644,16.811242881518265,127.0,7.7,6.97914527506881,1997,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1.159043203067043,53.73941861802984,7.130327784805003,158.9588,2.879829880465673,2.0768312973378373,False,True,False,False,False
Drillbit Taylor,20.635,17.50439003707821,102.0,5.76,6.810142450115136,2008,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1151407832764322,39.22642051266318,5.512205471005382,118.8576,2.918008003234778,2.0554232031366197,False,True,False,False,False
Ronin,20.635,17.822843761378564,122.0,6.9,7.605890001053122,1998,9,1,0,0,1,0,0,0,0,0,0,0,0,1,1.0962743069854135,52.48064100726654,6.481486089276494,142.38150000000002,2.9350712258973797,2.152446852676939,False,True,False,False,False
Throw Momma from the Train,20.626,16.454567959008102,88.0,6.165,6.19644412779452,1987,12,0,0,1,1,0,0,0,0,0,0,0,0,0,1.1816963930840327,38.201078047853215,5.041660166362594,127.15929000000001,2.859601388546752,1.9735870328878404,False,True,False,False,False
A Man Apart,20.621,17.399029524198163,109.0,6.1,6.633318433280377,2003,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1.1207656345612973,40.463242443010294,5.924225506385792,125.78809999999999,2.912297919973866,2.032522669918176,False,True,False,False,False
Original Sin,20.613,17.553180200057167,118.0,6.1,6.543911845564792,2001,5,0,0,0,0,1,0,0,0,1,0,1,0,1,1.111022465029283,39.91786225794523,6.3600956131303255,125.73929999999999,2.920641213715579,2.0207408598923613,False,True,False,False,False
Aquamarine,20.605,16.300417291085605,104.0,6.4,7.242082359256962,2006,3,0,0,1,0,0,1,1,0,0,0,1,0,0,1.1910117341861546,46.34932709924456,6.011415693053146,131.872,2.85073062208483,2.1092530254967605,False,True,False,False,False
DragonHeart,20.598,17.858561843342684,103.0,6.5,7.472500744737558,1996,5,1,1,0,0,1,0,1,0,0,0,0,0,0,1.0922359918591225,48.571254840794126,5.461710222424004,133.887,2.936967019968146,2.136825712399633,False,True,False,False,False
Come Play,20.597,16.012735246411598,96.0,6.4,6.234410725718371,2020,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.2106812750374407,39.900228644597576,5.642831597008996,131.82080000000002,2.8339621957386507,1.97884890904261,False,True,False,False,False
The Lake House,20.595,17.50439003707821,99.0,7.0,7.848153086199526,2006,6,0,0,0,0,1,0,0,0,1,0,1,0,0,1.1129791340721162,54.93707160339668,5.350081780681695,144.165,2.918008003234778,2.1802087464159654,False,True,False,False,False
The Legend of Zorro,20.59,18.132998684833918,129.0,6.1,7.882314918980268,2005,10,1,1,0,0,0,0,0,0,0,1,0,0,0,1.0761512264316935,48.08212100577963,6.742278203481713,125.59899999999999,2.9514145241647625,2.1840622121049407,False,True,False,False,False
Operation Mekong,20.588,17.22335251545768,124.0,7.0,5.3471075307174685,2016,9,1,1,0,1,0,0,0,0,0,1,0,0,0,1.129759191264974,37.42975271502228,6.804455980029958,144.116,2.902703876851616,1.847999202156157,False,False,True,False,False
Great Expectations,20.583,17.034386422832473,111.0,6.7,6.311734809152915,1998,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1.1413196721758634,42.28862322132453,6.154908595030892,137.90609999999998,2.8922802923091946,1.9894805655993109,False,True,False,False,False
The Untouchables,20.575,17.034386422832473,119.0,7.8,8.503297086224126,1987,6,0,0,0,1,1,0,0,0,0,1,0,0,1,1.1408760751600053,66.32571727254819,6.5985056108889735,160.48499999999999,2.8922802923091946,2.2516388001023144,False,True,False,False,False
Menace II Society,20.574,15.068273812173887,97.0,7.5,6.444131256700441,1993,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1.2804113397926056,48.330984425253305,6.036740544370697,154.305,2.7768467571891517,2.0074259711743165,False,True,False,False,False
How to Lose a Guy in 10 Days,20.56,17.72753358339242,116.0,6.735,8.100161446936607,2003,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0978487855033194,54.55458734511805,6.1940884785206745,138.4716,2.9299948251044747,2.2082921547870322,False,True,False,False,False
The Gift,20.544,16.118095750958314,112.0,6.41,7.0630481633881725,2000,3,0,0,0,0,1,0,0,1,1,0,0,0,1,1.2001334902481717,45.27413872731819,6.5427838253405,131.68704,2.840136135027038,2.0872916690681738,False,True,False,False,False
Midnight Special,20.538,16.705882371415992,112.0,6.2,7.415776975415394,2016,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1.159953487161765,45.977817247575445,6.325581388748548,127.3356,2.8738969217360877,2.1301081555747574,False,True,False,False,False
Deliver Us from Evil,20.537,17.216707972959764,118.0,6.2,7.502186486602924,2014,7,0,0,0,1,0,0,0,1,0,0,0,0,1,1.1273716431357628,46.513556216938134,6.47756994156985,127.32939999999999,2.9023391934519456,2.1403233641353414,False,True,False,False,False
The Hunt,20.529,15.150511887854474,116.0,8.1,8.155362120328135,2012,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2711052220851429,66.05843317465789,7.182434885375643,166.2849,2.781951745008745,2.214339731721952,False,False,False,False,True
The Adventures of Baron Munchausen,20.524,17.657754690229925,126.0,6.9,6.601230118728877,1988,12,1,1,1,0,0,1,1,0,0,0,0,0,0,1.1000251820626268,45.54848781922925,6.753224173645048,141.6156,2.926261860753223,2.0283100919222203,False,True,False,False,False
Rust Creek,20.524,13.527829818844937,108.0,6.4,5.54907608489522,2019,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1.4127368131320663,35.51408694332941,7.43400778689647,131.3536,2.676066107779104,1.879323983956676,False,True,False,False,False
The Guardian,20.519,16.118095750958314,139.0,7.1,7.163946684342547,2006,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1.1986730474300153,50.864021458832084,8.12006206894937,145.68489999999997,2.840136135027038,2.0997277143459883,False,True,False,False,False
Goal!,20.517,16.118095750958314,118.0,6.7,6.844815479208263,2005,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1985562120045627,45.860263710695364,6.893290101698026,137.4639,2.840136135027038,2.059852865093624,False,True,False,False,False
Eastern Promises,20.502,17.75709238505144,101.0,7.4,7.945909598613133,2007,9,0,0,0,1,0,0,0,0,1,0,0,0,1,1.0930265511908004,58.79973102973719,5.384629873684072,151.7148,2.9315719414300156,2.191196399729678,False,True,False,False,False
Peppermint,20.5,17.034386422832473,102.0,6.7,7.499423290592229,2018,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1.136717353136336,50.24613604696793,5.655861952190549,137.35,2.8922802923091946,2.13999831302886,False,True,False,False,False
This Means War,20.489,17.989897843244528,98.0,6.146,8.027802848370312,2012,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0789420864256394,49.33887630608394,5.1606386094837555,125.925394,2.943907145307067,2.2003090209200216,False,True,False,False,False
History of the World: Part I,20.488,16.213405921671733,92.0,6.8,6.478509642208569,1981,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1.19023510473343,44.05386556701826,5.344671497241095,139.3184,2.845688494284694,2.012033526440284,False,True,False,False,False
Fright Night 2: New Blood,20.474,15.894952224644102,100.0,4.9,5.6240175061873385,2013,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1.2118412486621455,27.55768578031796,5.918927657820384,100.32260000000001,2.8270148923814977,1.8907020599217577,False,True,False,False,False
Mr. Holmes,20.472,16.213405921671733,104.0,6.5,7.428333194190806,2015,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1.1893055966469535,48.284165762240235,6.0418025620986295,133.068,2.845688494284694,2.1315990293549345,False,True,False,False,False
Sweet Home Alabama,20.471,17.216707972959764,108.0,6.4,7.192182058713246,2002,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1.1237485955413253,46.02996517576477,5.928623336352066,131.0144,2.9023391934519456,2.1031802920142226,False,True,False,False,False
The Hitcher,20.47,15.607270193858982,98.0,7.0,6.595780513961311,1986,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1.2325926995256196,46.17046359772918,5.901030022154896,143.29,2.809840562969964,2.0275928975827715,False,True,False,False,False
The Chronicles of Riddick,20.469,18.46947091764561,119.0,6.5,8.172729104865471,2004,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1.051338276555245,53.12273918162556,6.112133221460461,133.04850000000002,2.9688476447799363,2.2162348542987367,False,True,False,False,False
Halloween II,20.466,14.731801689838349,92.0,6.6,7.449498005382849,1981,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3009317307387376,49.166686835526804,5.848026933839727,135.0756,2.755684248962421,2.1341070319573783,False,True,False,False,False
Dredd,20.466,17.72753358339242,95.0,6.8,8.401333305321703,2012,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0928294379431391,57.12906647618758,5.072744874650552,139.1688,2.9299948251044747,2.2408515202091466,False,True,False,False,False
The Way Way Back,20.463,15.341567078850604,103.0,7.125,7.325807502595773,2013,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1.252205489306065,52.19637845599488,6.30294509106801,145.798875,2.7937119892917393,2.119360028471374,False,True,False,False,False
Broken City,20.462,17.840862266556567,109.0,5.902,7.171656822768514,2013,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1.0860437123581668,42.327118567979774,5.785297851971468,120.766724,2.9360280359648367,2.100671681796611,False,True,False,False,False
Walk the Line,20.456,17.147715103853763,136.0,7.493,7.823645930834952,2005,9,0,0,0,0,1,0,0,0,0,1,1,0,0,1.1271942436244253,58.6225789597463,7.494056371378658,153.27680800000002,2.8985446631912657,2.177435155447476,False,True,False,False,False
The Orphanage,20.451,15.039286283703994,105.0,7.23,7.902857191280582,2007,5,0,0,0,0,1,0,0,1,0,0,0,0,1,1.2750567349607278,57.13765749295861,6.546425953296974,147.86073000000002,2.7750411054199615,2.186372257946269,False,False,False,True,False
The Grudge,20.443,16.118095750958314,93.0,5.5,6.940222469119639,2019,12,0,0,0,0,0,0,0,1,1,0,0,0,0,1.1942333012628201,38.17122358015801,5.4328472835416655,112.43650000000001,2.840136135027038,2.0719412936473365,False,True,False,False,False
Lethal Weapon 2,20.442,17.034386422832473,114.0,6.995,7.98139158158007,1989,7,1,1,1,1,0,0,0,0,0,0,0,0,1,1.1335012747713646,55.829834113152586,6.3212574759776725,142.99179,2.8922802923091946,2.1951548348495544,False,True,False,False,False
Office Space,20.438,16.118095750958314,90.0,7.374,7.845807502637805,1999,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1939412126991886,57.85498452445117,5.257594145362901,150.70981199999997,2.840136135027038,2.179943618259532,False,True,False,False,False
Journey to the West: The Demons Strike Back,20.435,17.963395902912193,109.0,6.052,4.356708826689592,2017,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0776023505822505,26.366801819125406,5.747915645386118,123.67261999999998,2.9425105895921946,1.6783497616208911,False,False,True,False,False
Along Came a Spider,20.432,17.909855136853043,104.0,6.331,7.356279876550748,2001,4,1,0,0,1,0,0,0,0,1,0,0,0,1,1.0804947923784185,46.57260789844279,5.499777721581614,129.354992,2.939683221977514,2.1230133372155913,False,True,False,False,False
Book of Shadows: Blair Witch 2,20.421,16.52356082573315,90.0,4.2,6.529418838262226,2000,10,0,0,0,0,0,0,0,1,1,0,0,0,1,1.1653453429403455,27.42355912070135,5.135942454563003,85.76820000000001,2.8635463083350072,2.0188178593196615,False,True,False,False,False
Good Luck Chuck,20.412,17.034386422832473,101.0,5.894,7.163946684342547,2007,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1.1318377859618969,42.22430175751497,5.600412325208289,120.308328,2.8922802923091946,2.0997277143459883,False,True,False,False,False
The Midnight Meat Train,20.41,16.52356082573315,98.0,6.126,6.975413927455952,2008,8,0,0,0,0,0,0,1,1,1,0,0,0,0,1.1647176166403432,42.73138571959516,5.592470672746382,125.03166,2.8635463083350072,2.0763635504532605,False,True,False,False,False
Arthur and the Revenge of Maltazard,20.407,18.28141868811311,93.0,5.7,7.333023014386481,2009,11,0,1,0,0,0,1,1,0,0,1,0,0,0,1.0583764778979052,41.798231182002944,4.823296537683402,116.3199,2.95914186988363,2.120226297233107,False,False,False,True,False
Fright Night,20.407,17.216707972959764,106.0,6.2,7.423568444259167,2011,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1.1202353372679317,46.02612435440683,5.81883401530851,126.52340000000001,2.9023391934519456,2.131033544205444,False,True,False,False,False
Broken Arrow,20.4,17.72753358339242,108.0,6.029,7.149916836132109,1996,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0893052151881186,43.10684860504048,5.766909962760628,122.99159999999999,2.9299948251044747,2.0980077230451393,False,True,False,False,False
The Boat That Rocked,20.392,17.72753358339242,135.0,7.2,7.533158807455563,2009,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0888780366723585,54.238743413680055,7.208637453450785,146.8224,2.9299948251044747,2.143959610356956,False,True,False,False,False
Like a Boss,20.378,17.182806422433504,83.0,6.3,6.354370040797351,2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1207290847499822,40.03253125702331,4.564751890973036,128.38139999999999,2.9004764455064254,1.995294699915761,False,True,False,False,False
Free Birds,20.357,17.822843761378564,91.0,5.9,6.51025834052315,2013,10,0,0,1,0,0,1,0,0,0,1,0,0,0,1.0815050190114883,38.41052420908658,4.834551099378368,120.1063,2.9350712258973797,2.01626986472143,False,True,False,False,False
12 Rounds,20.357,16.906553056777135,108.0,5.9,6.501289670540389,2009,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1.1368463788342245,38.3576090561883,6.031311534808482,120.1063,2.8851667384085613,2.0150749618315658,False,True,False,False,False
Home Alone 3,20.356,17.281246492014,102.0,5.3,7.886081401775745,1997,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1.113490811958164,41.79623142941145,5.579488250134245,107.88680000000001,2.905875752542279,2.184486165148749,False,True,False,False,False
Khumba,20.355,16.811242881518265,85.0,6.0,5.384495062789089,2013,7,0,1,0,0,0,1,0,0,0,1,0,0,0,1.1428174965331168,32.30697037673453,4.772266627625395,122.13,2.879829880465673,1.8538724045702297,False,True,False,False,False
Take Me Home Tonight,20.353,16.759949589762293,97.0,6.0,6.338594078203183,2011,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1.146005505090649,38.0315644692191,5.46172721435626,122.11800000000001,2.8769458991457104,1.9931472818006903,False,True,False,False,False
The Upside,20.348,17.439851517607305,126.0,7.1,6.983789965258135,2019,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.1034796012630956,49.584908753332755,6.83302682126745,144.4708,2.9145141659055356,2.0774132317064824,False,True,False,False,False
The Forgotten Battle,20.337,16.454567959008102,124.0,7.1,6.251903883165888,2021,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1.1651391227649555,44.3885175704778,7.104157507147292,144.3927,2.859601388546752,1.9812640389666427,False,False,False,True,False
Halloween 4: The Return of Michael Myers,20.333,15.424948670398354,88.0,6.2,7.401231264413015,1988,10,0,0,0,0,0,0,0,1,0,0,0,0,1,1.2379338534338848,45.887633839360696,5.357703196881025,126.0646,2.7988014392758886,2.1283782742043895,False,True,False,False,False
Stop-Loss,20.332,17.034386422832473,113.0,6.1,5.493061443340548,2008,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1.127401815803316,33.507674804377345,6.265807848995412,124.0252,2.8922802923091946,1.870734136494135,False,True,False,False,False
Paul Blart: Mall Cop,20.328,17.073607134447293,91.0,5.4,7.687538766201629,2009,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1.1247339752813348,41.5127093374888,5.0349661427883445,109.77120000000001,2.894452704740662,2.161889673177545,False,True,False,False,False
Godzilla Raids Again,20.318,13.592368256649284,82.0,6.0,5.272999558563747,1955,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1.3923716591199462,31.63799735138248,5.619375728311625,121.90800000000002,2.680498669900132,1.836254638743768,False,False,True,False,False
The Grudge 2,20.31,16.811242881518265,102.0,5.5,6.784457062637643,2006,10,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1402910024361386,37.31451384450704,5.726719953150474,111.705,2.879829880465673,2.0521290613815477,False,True,False,False,False
Diabolik,20.306,16.213405921671733,133.0,6.095,6.20455776256869,2021,12,1,0,0,1,1,0,0,0,1,0,0,0,0,1.1796619502497576,37.81677956285617,7.726535968837671,123.76507,2.845688494284694,1.974713848326716,False,False,False,True,False
Elf,20.303,17.281246492014,97.0,6.651,8.150756470275551,2003,10,0,0,1,0,0,1,1,0,0,0,0,0,0,1.1105916661027018,54.21068128380269,5.305983924147273,135.035253,2.905875752542279,2.2138365502171493,False,True,False,False,False
Non-Stop,20.3,17.72753358339242,106.0,6.8,8.4767877767812,2014,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0839654837411181,57.642156882112154,5.660115333820617,138.04,2.9299948251044747,2.248845416735283,False,True,False,False,False
Ratter,20.297,13.122365377402328,80.0,5.2,5.655991810819852,2015,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1.4372238260084895,29.411157416263233,5.664773418765293,105.54440000000001,2.6477597376813042,1.8955174731725755,False,True,False,False,False
13 Going on 30,20.296,17.426428497635523,98.0,6.7,8.415381925269553,2004,4,0,0,1,0,0,0,1,0,0,0,1,0,0,1.101461414652567,56.38305889930601,5.3184479028356115,135.9832,2.913785965470917,2.242344726901813,False,True,False,False,False
Queen of the Damned,20.295,17.370858648025116,101.0,6.05,6.7661917146603505,2002,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1.1047387816127872,40.935459873695116,5.497837740472604,122.78475,2.910765639997766,2.0497799174148086,False,True,False,False,False
Duel,20.295,13.017005083966255,90.0,7.414,7.351158226430694,1971,11,1,0,0,0,0,0,0,0,0,1,0,0,1,1.447884186274214,54.50148709075716,6.420772444675006,150.46713,2.6402712413808804,2.122400238995635,False,True,False,False,False
Under Siege,20.293,17.370858648025116,103.0,6.256,7.160069207596127,1992,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1046299135387183,44.79339296272137,5.606705814541368,126.953008,2.910765639997766,2.099252650263104,False,True,False,False,False
Cry-Baby,20.29,16.213405921671733,85.0,6.6,7.173958319756794,1990,4,0,0,1,0,0,0,0,0,0,1,1,0,0,1.1787324421632808,47.34812491039484,4.938011709407534,133.914,2.845688494284694,2.100953286004641,False,True,False,False,False
The Little Vampire,20.28,17.370858648025116,95.0,6.8,5.814130531825066,2000,10,0,1,1,0,0,1,1,0,0,0,0,0,0,1.1039222710572714,39.53608761641045,5.171233518266311,137.904,2.910765639997766,1.9189984754722385,False,True,False,False,False
All Is Lost,20.28,16.012735246411598,106.0,6.618,7.262628600974241,2013,8,1,1,0,0,1,0,0,0,0,0,0,0,0,1.1920481748681506,48.064076081247535,6.230626555030767,134.21304,2.8339621957386507,2.111742769471112,False,True,False,False,False
The Fast and the Furious: Tokyo Drift,20.278,18.258161826219297,104.0,6.4,8.662677858158219,2006,6,1,0,0,1,1,0,0,0,0,0,0,0,1,1.052956153499148,55.4411382922126,5.400307720875402,129.7792,2.9579349618474504,2.268270820798023,False,True,False,False,False
Playing with Fire,20.266,17.21336907180573,96.0,6.8,6.369900982828227,2019,11,0,0,1,0,0,1,0,0,0,0,0,0,0,1.112699134361239,43.315326683231945,5.270853493470786,137.8088,2.902155888807309,1.997404270945216,False,True,False,False,False
James and the Giant Peach,20.258,17.453096744006448,79.0,6.6,7.0317412587631285,1996,4,0,1,0,0,0,1,1,0,0,1,0,0,0,1.0978103177495009,46.40949230783664,4.281124252256421,133.7028,2.9152322016057073,2.0834013486310865,False,True,False,False,False
