title,popularity,budget,runtime,vote_average,vote_count,release_year,release_month,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Outros,Romance,Science Fiction,Thriller,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
Friday the 13th,36.08,13.217675375388819,95.0,6.4,7.796057974316123,1980,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5376862987359705,49.894771035623194,6.681823680152916,230.912,2.6544859353004306,2.1743036636571658,False,True,False,False,False
American Assassin,36.063,17.312018149733785,112.0,6.4,7.878155336503324,2017,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1.9693623993335916,50.42019415362128,6.116201889065309,230.80320000000003,2.9075575737885786,2.1835938030489683,False,True,False,False,False
Men in Black II,36.032,18.757152987716434,88.0,6.354,9.089640586738398,2002,7,1,1,1,0,0,0,0,0,0,0,0,1,0,1.8237445457046408,57.75557628813578,4.454083037910979,228.94732799999997,2.9835156023702574,2.311509212991579,False,True,False,False,False
Close Encounters of the Third Kind,36.031,16.811242881518265,135.0,7.4,8.3243363327069,1977,12,0,0,0,0,1,0,0,0,0,0,0,1,0,2.022935751293772,61.60008886203107,7.579482290934451,266.62940000000003,2.879829880465673,2.232627792241829,False,True,False,False,False
Career Opportunities,36.026,15.607270193858982,83.0,6.856,6.210600077024653,1991,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2.1692908936546154,42.579874128081016,4.99781114121282,246.994256,2.809840562969964,1.9755521762697152,False,True,False,False,False
Trolls World Tour,36.022,18.31532023940565,90.0,7.3,7.560080465021827,2020,3,0,1,1,0,0,1,1,0,0,1,0,0,0,1.8649444872526963,55.188587394659336,4.659513737514371,262.9606,2.9608985758102415,2.147109590228842,False,True,False,False,False
Drag Me to Hell,36.014,17.216707972959764,99.0,6.4,8.065579427282092,2009,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1.976976304031327,51.61970833460539,5.4345713916560605,230.48960000000002,2.9023391934519456,2.204484761334738,False,True,False,False,False
The Mitchells vs. the Machines,35.998,18.132998684833918,110.0,7.969,7.751045117971802,2021,4,0,1,1,0,0,0,0,0,0,1,0,0,0,1.881461478828951,61.76807854511729,5.74922947583712,286.868062,2.9514145241647625,2.169173135290809,False,True,False,False,False
Bones and All,35.994,16.705882371415992,131.0,7.1,7.109062135687172,2022,11,0,0,0,0,1,0,0,1,0,0,1,0,0,2.0328837188090647,50.474341163378924,7.398671088625534,255.55739999999997,2.8738969217360877,2.092982218491599,False,False,False,True,False
Bee Movie,35.975,18.826145858727198,91.0,6.002,8.363342466597977,2007,11,0,1,1,0,0,1,0,0,0,1,0,0,0,1.814523117924319,50.19678148452106,4.589898644367284,215.92195,2.987001564525397,2.236802327876329,False,True,False,False,False
The Boogeyman,35.971,17.550796408758714,99.0,6.4,6.75343791859778,2023,5,0,0,0,0,0,0,0,1,1,0,0,0,1,1.93905421672443,43.22200267902579,5.336698102797214,230.21439999999998,2.920512721218569,2.048136347402513,False,True,False,False,False
Moonwalker,35.964,16.906553056777135,93.0,6.9,6.246106765481563,1988,10,0,0,0,0,0,0,1,0,0,1,0,0,0,2.008426741091224,43.09813668182279,5.193629377196192,248.1516,2.8851667384085613,1.98046432676698,False,True,False,False,False
Duende Maldito 2,35.962,14.508658238524095,85.0,5.5,5.560681631015528,1994,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2.318833740927312,30.5837489705854,5.480809409343793,197.79100000000003,2.7413984640023243,1.8810945047250232,False,False,False,True,False
