Receita_Real,Receita_Prevista
1429299.0,15949047.078938097
150000000.0,33970823.934590474
1677131.0,69859033.72974312
469310836.0,103271927.34654239
31611225.0,99948149.21855086
17000000.0,2594364.2526901523
6341684.0,3311527.4428768363
35402320.0,121270411.04763931
17800000.0,3835564.0167230833
33583175.0,25102146.70041597
19059053.0,17229799.48381827
68263166.0,43129200.63177627
2700000.0,27832767.464165367
373552094.0,393214187.7530574
161000000.0,226577775.21155077
7000000.0,-4656692.417324406
28600000.0,22327810.16176795
875386.0,37500022.166549645
52395996.0,70114462.18403761
23726793.0,30946545.90104883
13167232.0,1159483.0297504952
7000000.0,1853536.6011511032
543514353.0,282009146.34976095
259012.0,6692594.730385091
133437105.0,430116870.56461006
9722918.0,54904710.98160634
1242995.0,-4166590.522956973
22852638.0,37199648.61858368
110879513.0,51886189.757927895
5100000.0,7030726.748244932
92863945.0,40083664.378479406
288500217.0,220418128.26827163
11098131.0,-633000.6340039307
151161491.0,115048221.19973442
39404261.0,69985023.91226988
887000.0,30712615.533587217
13269963.0,9748205.400942545
30700000.0,70421132.24279144
26533200.0,14474147.425969806
15691192.0,135959230.92422104
6470705.0,19223382.60555251
130628903.0,157057516.86956966
1893139.0,18680357.46053569
8176544.0,1891131.2830573013
46216641.0,100371304.72688024
954305868.0,748597096.905354
2300000.0,-627753.5416807085
1023510.0,13132314.03431844
74800000.0,41687475.62630326
3758328.0,46458649.554836534
73276047.0,55049620.679881394
31635150.0,58761927.44222868
32100816.0,24952799.4612047
653428261.0,477819943.71538883
14010832.0,79015431.52353846
336365676.0,596633280.7934371
17.0,-5276452.32673049
30536013.0,85014934.77324578
1530000.0,-1408779.523556617
878668.0,9841783.544604132
2889720.0,7122468.357958734
921752.0,4200131.991340589
572809.0,1808833.1922878176
102244770.0,103853608.94516215
19075720.0,70007661.3677215
4750000.0,51970053.28494534
31081.0,12896374.780081648
840000.0,-2781910.8745634058
16361885.0,-969303.6653968198
172842355.0,190089595.45260143
30925690.0,115708245.44722642
83869818.0,295971138.9977299
213400000.0,544212801.7936189
21011110.0,78980680.78066637
1600000.0,25567578.78117816
2735731.0,36883473.82687864
60000000.0,32047385.870460927
1071255.0,183406976.81382024
7900000.0,31000126.20951511
10400000.0,24773558.787443418
212874864.0,235469807.06654274
5396618.0,-2155453.9351129713
17850711.0,3667926.912842298
5186767.0,85251263.81148373
92913171.0,115354711.35818003
232225908.0,70424760.23234063
11724119.0,10052206.93845771
4300000.0,10037404.534965249
34522221.0,-1747829.820060337
12827813.0,25200192.36839847
8382938.0,159875749.0834245
117094902.0,109150991.27525288
9206470.0,9870357.710227167
84542002.0,22234771.719031036
56722693.0,145499715.87607628
19910002.0,17310069.836800106
9898412.0,84969779.79588136
80154140.0,175203125.1040501
73706.0,189992629.18646824
213525736.0,46343093.59018682
39241323.0,13150753.815911476
59827328.0,28117369.75177696
57138719.0,63996914.34875013
334748.0,29277773.682583645
4493017.0,16858943.466002923
1400000.0,12114809.097281065
3020601.0,18858938.499833483
28700000.0,12296808.242435127
209196298.0,228914052.0638044
9129999.0,48786233.66139303
55003135.0,175150804.09774137
208101.0,9961717.08342065
204594016.0,175293584.97570246
31670620.0,115083121.85953003
14011454.0,15806086.30066881
71923560.0,31852913.63726995
9470000.0,11974.170897519216
10000.0,-4640427.339987702
20000000.0,4227696.110435061
17460020.0,19002738.812874485
3335913.0,-2763522.3411995494
208867.0,-5025607.98272401
36800000.0,72989662.82883032
9700000.0,1300783.5155791063
45300000.0,33931845.5344751
5500000.0,-4734849.712696693
13143056.0,109242860.36598633
75505856.0,115409700.8857274
42067430.0,49135420.15965732
6604537.0,64081437.51023106
12000000.0,53525668.20953715
585174222.0,418331450.51950717
8130000.0,-2854281.5884507047
2849142.0,42879499.00396028
1120000.0,-2511282.531347594
3200000.0,2349120.760643703
21011500.0,45922006.935402036
108139.0,18840678.61854867
1431461.0,12646943.002727997
15313606.0,27933901.420772396
574480841.0,326134103.56306386
38122105.0,76159750.06218813
285930.0,-2906632.93608416
4864560.0,1090915.5677317008
32861136.0,27967482.81164102
22212223.0,678309.6720186323
71319546.0,76548604.57841599
49050886.0,57992283.9402584
358574.0,78935705.70361018
2641357.0,43437759.64376646
36611610.0,33843154.68252029
1099000.0,-4845959.407873005
89137047.0,55022155.89949241
70936.0,39664886.444316834
14339171.0,48840353.67078398
1000000.0,-2724202.247559335
12975143.0,13115220.136393752
167298192.0,460447730.84132636
44459951.0,10063030.940335901
43101594.0,40308569.74714507
154906693.0,160133186.42449415
246233113.0,292325995.0171198
69834815.0,145402749.6099431
62022014.0,94220475.33457117
177200000.0,57998760.35135449
282358.0,1386116.2284470573
2995811.0,24965212.58247221
20483423.0,-2004137.1810626094
32980880.0,3299003.7766218893
76347426.0,26736947.74401138
1277187.0,47291005.27359534
1671445.0,-4967368.725702278
349779543.0,214999223.27997506
984936.0,-2397877.2416865695
346147658.0,253506331.8121099
12693645.0,55051359.716194235
6600000.0,17840974.42347417
321885765.0,386457843.90664846
20036737.0,43158434.431862794
532269.0,-3291.406178384088
2755584.0,-5348745.3062014235
35078241.0,85009897.56461549
205068.0,2432084.7861200282
3764219.0,8325806.654591184
84967.0,30890087.187650956
8479793.0,114970654.18350485
86369815.0,100371724.4942661
74597643.0,115104050.26205352
14594226.0,220250701.04808378
5285197.0,30965135.599565394
42830578.0,85440908.71973734
443038.0,2866892.6248173583
33697647.0,25219111.884146776
1250000.0,-4087727.628022858
635096.0,100062865.64842886
46720491.0,25259829.320574984
21435321.0,78944640.75225201
274703340.0,340601706.0272985
29000000.0,219957043.77829152
50752337.0,24876701.63082562
177243185.0,55014660.053316385
9797098.0,6762575.9502845295
3704408.0,5203542.919836452
